elapsed_s,produced,acked,send_rejects,delivery_errors,consumed,duplicates,reordered,open_gaps,parse_errors,win_p50_us,win_p99_us,win_max_us,rss_mib,producer_retries,producer_lib_errors,rebalances,consumer_restarts,wedges
2391,2391500,2391500,0,0,2399587,8126,5065,39,0,12915,18111,20563,11.9,0,0,7,2,0
2401,2401500,2401500,0,0,2409587,8126,5065,39,0,13377,20398,26354,11.9,0,0,7,2,0
2411,2411500,2411500,0,0,2419587,8126,5065,39,0,13382,18379,18846,11.9,0,0,7,2,0
2421,2421500,2421500,0,0,2429587,8126,5065,39,0,12779,19037,27412,11.9,0,0,7,2,0
2431,2431550,2431500,0,0,2439587,8126,5065,39,0,12764,17689,23349,11.9,0,0,7,2,0
2441,2441550,2441550,0,0,2449637,8126,5065,39,0,12832,19750,20827,11.8,0,0,7,2,0
2451,2451550,2451550,0,0,2459637,8126,5065,39,0,12930,17569,27285,11.9,0,0,7,2,0
2461,2461550,2461550,0,0,2469637,8126,5065,39,0,12587,17010,17342,11.9,0,0,7,2,0
2471,2471550,2471550,0,0,2479637,8126,5065,39,0,13221,18541,22582,11.8,0,0,7,2,0
2481,2481550,2481550,0,0,2489637,8126,5065,39,0,13338,17570,22891,11.8,0,0,7,2,0
2491,2491600,2491550,0,0,2499637,8126,5065,39,0,13445,17782,21511,11.8,0,0,7,2,0
2501,2501600,2501553,0,0,2509663,8126,5065,39,0,12775,16683,16926,11.8,0,0,7,2,0
2511,2511600,2511600,0,0,2519687,8126,5065,39,0,13205,18484,24639,11.8,0,0,7,2,0
2521,2521600,2521600,0,0,2529687,8126,5065,39,0,12284,16756,18077,11.8,0,0,7,2,0
2531,2531600,2531600,0,0,2539687,8126,5065,39,0,12728,19557,22159,11.8,0,0,7,2,0
2541,2541600,2541600,0,0,2549687,8126,5065,39,0,13766,17600,19815,11.8,0,0,7,2,0
2551,2551600,2551600,0,0,2559670,8126,5065,39,0,12362,440395,529768,12.5,0,0,7,2,0
2561,2561650,2561600,0,0,2569662,8126,5065,39,0,11781,16059,17047,12.4,0,0,7,2,0
2571,2571650,2571600,0,0,2579671,8126,5065,39,0,12508,17835,24847,12.4,0,0,7,2,0
2581,2581650,2581650,0,0,2589720,8126,5065,39,0,12691,17233,27621,12.5,0,0,7,2,0
2591,2591650,2591650,0,0,2599695,8126,5065,39,0,12040,18861,23172,12.5,0,0,7,2,0
2601,2601650,2601650,0,0,2609712,8126,5065,39,0,12140,17616,36754,11.9,0,0,7,2,0
2611,2611650,2611650,0,0,2619729,8126,5065,39,0,11845,17394,19037,11.8,0,0,7,2,0
2621,2621650,2621650,0,0,2629704,8126,5065,39,0,11589,18096,19529,11.8,0,0,7,2,0
2631,2631700,2631650,0,0,2639721,8126,5065,39,0,10895,17208,19378,11.8,0,0,7,2,0
2641,2641700,2641650,0,0,2649704,8126,5065,39,0,11735,17408,21616,11.8,0,0,7,2,0
2651,2651700,2651700,0,0,2659729,8126,5065,39,0,11604,16786,20438,11.7,0,0,7,2,0
2661,2661700,2661700,0,0,2669770,8126,5065,39,0,11302,16584,20433,11.7,0,0,7,2,0
2671,2671700,2671700,0,0,2679771,8126,5065,39,0,12255,18089,25921,11.7,0,0,7,2,0
2681,2681700,2681700,0,0,2689754,8126,5065,39,0,11954,17006,18075,11.7,0,0,7,2,0
2691,2691700,2691700,0,0,2699737,8126,5065,39,0,11186,19284,20449,11.7,0,0,7,2,0
2701,2701700,2701700,0,0,2709179,8126,5065,39,0,11865,16960,18582,11.8,0,0,7,3,0
2711,2711750,2711700,0,0,2719754,8126,5065,39,0,11535,16245,18470,12.4,0,0,5,3,0
2721,2721750,2721700,0,0,2729745,8126,5065,39,0,11491,16998,26607,12.3,0,0,5,3,0
2731,2731750,2731750,0,0,2739803,8126,5065,39,0,11760,19603,22774,12.3,0,0,5,3,0
2741,2741750,2741750,0,0,2749804,8126,5065,39,0,11767,16568,17730,12.3,0,0,5,3,0
2751,2751750,2751150,0,0,2759295,8126,5065,39,0,11359,22095,24842,12.6,0,0,5,3,0
2761,2761750,2761750,0,0,2772733,11069,6059,86,0,14049,3404548,4455775,14.1,0,0,5,3,0
2771,2771750,2771750,0,0,2782733,11069,6059,86,0,12614,18036,19433,14.1,0,0,5,3,0
2781,2781791,2781750,0,0,2792733,11069,6059,86,0,12820,18824,21793,14.1,0,0,5,3,0
2791,2791800,2791750,0,0,2802733,11069,6059,86,0,12177,17808,28083,14.1,0,0,5,3,0
2801,2801800,2801800,0,0,2812783,11069,6059,86,0,12832,18070,20410,14.1,0,0,5,3,0
2811,2811800,2811800,0,0,2822783,11069,6059,86,0,12611,20585,26458,14.1,0,0,5,3,0
2821,2821800,2821800,0,0,2832783,11069,6059,86,0,11990,16853,21374,14.1,0,0,5,3,0
2831,2831800,2831800,0,0,2842783,11069,6059,86,0,12616,20644,25834,13.7,0,0,5,3,0
2841,2841800,2841800,0,0,2852783,11069,6059,86,0,12784,18012,21016,13.7,0,0,5,3,0
2851,2851850,2851800,0,0,2862783,11069,6059,86,0,12430,17324,17695,13.6,0,0,5,3,0
2861,2861850,2861800,0,0,2872783,11069,6059,86,0,12414,19324,24405,13.6,0,0,5,3,0
2871,2871850,2871850,0,0,2882833,11069,6059,86,0,13232,17123,18660,13.6,0,0,5,3,0
2881,2881850,2881850,0,0,2892833,11069,6059,86,0,12488,17143,24196,13.6,0,0,5,3,0
2891,2891850,2891850,0,0,2902833,11069,6059,86,0,11954,16721,17303,13.6,0,0,5,3,0
2901,2901850,2901850,0,0,2912833,11069,6059,86,0,12726,18563,20520,13.4,0,0,5,3,0
2911,2911850,2911850,0,0,2922833,11069,6059,86,0,12865,17463,18522,12.9,0,0,5,3,0
2921,2921900,2921850,0,0,2932833,11069,6059,86,0,12240,17801,18962,12.9,0,0,5,3,0
2931,2931900,2931850,0,0,2942833,11069,6059,86,0,12844,17245,18427,12.9,0,0,5,3,0
2941,2941900,2941900,0,0,2952883,11069,6059,86,0,13068,18165,26483,12.8,0,0,5,3,0
2951,2951900,2951900,0,0,2962883,11069,6059,86,0,12541,17414,20457,12.7,0,0,5,3,0
2961,2961900,2961900,0,0,2972883,11069,6059,86,0,12442,18058,24598,12.7,0,0,5,3,0
2971,2971900,2971900,0,0,2982883,11069,6059,86,0,13011,16727,17393,12.7,0,0,5,3,0
2981,2981900,2981900,0,0,2992883,11069,6059,86,0,12227,17581,19453,12.7,0,0,5,3,0
2991,2991950,2991900,0,0,3002883,11069,6059,86,0,12465,16696,17049,12.1,0,0,5,3,0
3001,3001950,3001950,0,0,3012933,11069,6059,86,0,12540,20483,24114,12.1,0,0,5,3,0
3011,3011950,3011950,0,0,3022933,11069,6059,86,0,12693,16677,17461,12.0,0,0,5,3,0
3021,3021950,3021950,0,0,3032933,11069,6059,86,0,11897,19737,26553,12.0,0,0,5,3,0
3032,3031950,3031950,0,0,3042933,11069,6059,86,0,12068,17656,20816,12.0,0,0,5,3,0
3042,3041950,3041950,0,0,3052933,11069,6059,86,0,12928,17897,28000,12.0,0,0,5,3,0
3052,3052000,3051950,0,0,3062933,11069,6059,86,0,12526,17538,20123,12.2,0,0,5,3,0
3062,3062000,3061950,0,0,3072933,11069,6059,86,0,11808,17561,21149,12.2,0,0,5,3,0
3072,3072000,3072000,0,0,3082983,11069,6059,86,0,12889,18270,22813,12.2,0,0,5,3,0
3082,3082000,3082000,0,0,3092983,11069,6059,86,0,12732,17032,25510,12.2,0,0,5,3,0
